bin_id,latitude,longitude,district,waste_type,capacity_liters,previous_fill_pct,hours_since_collection,day_of_week,is_weekend,temperature,rain_flag,nearby_activity_score,historical_daily_fill_rate,target_fill_pct
TRN-0027,51.145648,71.486133,Market,Paper,120,40.56,70,1,0,5.6,0,8.28,12.08,76.82
TRN-0028,51.182355,71.465642,Downtown,Paper,660,12.2,39,3,0,18.7,0,7.83,6.92,25.68
TRN-0029,51.167867,71.41269,Downtown,General,660,80.2,11,4,0,16.7,0,6.53,6.64,52.89
TRN-0030,51.143309,71.451159,School Zone,Plastic,660,41.54,53,1,0,8.8,1,8.35,7.89,66.14
TRN-0031,51.151738,71.436044,School Zone,Organic,240,39.7,74,6,1,19.1,0,7.69,9.39,76.03
TRN-0032,51.145505,71.40122,Business Center,General,240,66.53,5,6,1,20.7,1,6.85,10.91,53.09
TRN-0033,51.218738,71.397849,Residential,Paper,1100,34.6,21,0,0,22.9,0,5.16,4.2,36.37
TRN-0034,51.187922,71.433238,Residential,Plastic,240,32.1,34,2,0,2.5,0,7.02,9.11,33.48
TRN-0035,51.147088,71.456374,Market,Plastic,240,21.23,27,3,0,19.6,0,10.0,13.81,40.58
TRN-0036,51.21468,71.426016,Residential,General,120,59.84,54,3,0,29.3,0,3.95,8.8,61.37
TRN-0037,51.165582,71.431913,Downtown,Paper,240,39.55,95,1,0,17.9,0,7.0,10.5,80.3
TRN-0038,51.171874,71.473733,Market,Organic,240,52.82,67,3,0,35.0,0,10.0,15.41,100.0
TRN-0039,51.213373,71.432505,Residential,General,660,53.61,50,6,1,11.7,0,5.33,6.9,55.24
TRN-0040,51.187191,71.476406,Park,General,1100,53.7,92,2,0,-8.3,1,5.11,2.2,37.64
TRN-0041,51.165863,71.496038,Market,General,1100,73.61,79,1,0,3.0,1,10.0,7.47,99.25
TRN-0042,51.195631,71.512347,Industrial,General,240,46.11,57,5,1,5.3,0,2.54,6.56,44.66
TRN-0043,51.138188,71.4136,School Zone,Glass,240,45.53,6,3,0,21.3,0,6.18,8.13,36.91
TRN-0044,51.202017,71.398856,Residential,Plastic,660,71.73,27,4,0,24.8,0,5.15,7.5,57.34
TRN-0045,51.209735,71.492123,Industrial,General,240,23.13,89,4,0,15.8,0,5.34,10.91,56.07
TRN-0046,51.209402,71.503028,Industrial,General,660,16.06,54,5,1,17.8,0,5.13,6.49,32.3
TRN-0047,51.189244,71.442698,Residential,Glass,660,59.27,89,5,1,35.0,0,6.3,6.06,55.39
TRN-0048,51.204333,71.446018,Residential,General,240,51.54,7,4,0,3.2,1,5.36,9.21,46.62
TRN-0049,51.137799,71.420868,School Zone,Paper,240,8.8,18,3,0,13.1,0,8.45,9.16,13.34
TRN-0050,51.186984,71.440429,Downtown,General,240,33.89,15,3,0,8.1,0,7.34,12.43,40.41
TRN-0051,51.197617,71.429901,Residential,General,660,38.18,10,1,0,-1.3,0,6.15,7.53,34.47
TRN-0052,51.157023,71.459769,Downtown,Paper,240,58.24,34,3,0,-10.0,0,8.51,12.83,65.39
TRN-0053,51.145233,71.44814,School Zone,General,240,53.67,96,4,0,30.9,1,9.08,10.32,100.0
TRN-0054,51.2013,71.5036,Park,Paper,120,20.38,3,5,1,4.1,0,4.85,7.3,25.36
TRN-0055,51.138296,71.41616,School Zone,General,660,66.54,90,5,1,10.7,0,6.81,8.4,98.83
TRN-0056,51.1605,71.4062,School Zone,Organic,1100,63.23,8,2,0,19.6,1,8.63,7.06,53.05
TRN-0057,51.137135,71.482577,Market,Organic,1100,25.05,2,5,1,-1.5,0,10.0,10.45,32.18
TRN-0058,51.20865,71.486943,Park,Paper,1100,84.0,1,3,0,3.2,0,4.31,4.05,52.09
TRN-0059,51.179393,71.419163,Downtown,General,120,48.67,75,2,0,13.7,0,6.29,13.09,94.05
TRN-0060,51.164405,71.420991,Downtown,Paper,120,57.79,18,1,0,8.3,0,8.85,10.81,52.13
TRN-0061,51.200204,71.460892,Park,Glass,240,45.48,11,1,0,-2.6,0,3.1,4.5,27.47
TRN-0062,51.138622,71.48181,Market,General,240,47.24,80,4,0,21.9,0,7.05,14.77,100.0
TRN-0063,51.203018,71.481715,Park,General,660,53.77,62,1,0,8.0,0,4.61,4.84,48.81
TRN-0064,51.145102,71.437167,School Zone,Organic,240,54.37,34,0,0,15.8,0,7.21,10.53,61.22
TRN-0065,51.190246,71.467679,Park,General,1100,66.29,74,1,0,14.7,0,3.63,2.0,41.2
TRN-0066,51.157049,71.483296,Market,Paper,240,58.08,87,6,1,26.6,0,9.04,11.38,100.0
TRN-0067,51.16034,71.478781,Market,Organic,660,42.21,52,1,0,18.6,1,9.09,12.37,76.97
TRN-0068,51.187715,71.429455,Residential,General,1100,30.58,85,1,0,2.8,0,4.87,5.97,47.38
TRN-0069,51.169386,71.441859,Downtown,Plastic,240,13.93,34,2,0,29.1,1,9.64,12.06,43.85
TRN-0070,51.148454,71.463746,Market,Plastic,660,57.68,83,2,0,7.8,0,9.27,9.61,88.78
TRN-0071,51.208288,71.397828,Residential,General,660,64.74,62,6,1,3.4,0,6.64,7.78,77.35
TRN-0072,51.189465,71.414168,Residential,Organic,660,67.53,21,1,0,1.5,0,3.8,6.12,48.33
TRN-0073,51.230538,71.519914,Industrial,General,660,77.93,61,2,0,-10.0,1,2.29,4.65,55.96
TRN-0074,51.182992,71.43937,Residential,General,240,39.91,33,2,0,6.1,1,5.91,9.31,44.2
TRN-0075,51.182894,71.43149,Downtown,Organic,240,8.93,7,1,0,19.2,0,9.44,12.52,27.16
TRN-0076,51.174185,71.418017,Residential,General,660,29.29,45,2,0,-3.7,0,4.29,6.75,36.43
TRN-0077,51.210624,71.442969,Residential,Organic,660,30.29,6,1,0,35.0,0,5.56,7.45,22.38
TRN-0078,51.183692,71.51038,Park,General,660,69.39,42,5,1,-10.0,0,3.44,5.01,64.11
TRN-0079,51.129121,71.468579,Market,Plastic,240,37.0,87,5,1,3.8,0,8.01,11.96,93.7
TRN-0080,51.135228,71.446385,School Zone,General,240,93.31,8,1,0,-5.3,0,7.31,9.74,73.12
TRN-0081,51.205383,71.498413,Park,Paper,240,40.59,66,3,0,25.9,0,4.26,6.87,52.13
TRN-0082,51.185894,71.432039,Residential,Organic,1100,54.68,23,1,0,22.5,0,3.96,3.74,41.57
TRN-0083,51.21949,71.479031,Industrial,Organic,240,64.86,58,6,1,10.5,0,2.44,6.03,56.38
TRN-0084,51.14873,71.46467,Downtown,Glass,240,8.21,60,0,0,-4.5,0,5.33,8.13,24.4
TRN-0085,51.167599,71.429822,Downtown,Paper,120,3.14,73,2,0,-1.6,0,7.92,9.82,56.12
TRN-0086,51.167318,71.454561,Downtown,Organic,240,25.8,65,2,0,17.2,1,8.06,13.41,76.8
TRN-0087,51.138571,71.40582,School Zone,Plastic,240,58.13,24,2,0,5.2,0,7.75,12.79,59.18
TRN-0088,51.170256,71.489163,Market,Organic,660,32.34,36,6,1,6.7,0,7.8,10.05,57.18
TRN-0089,51.166046,71.444674,Downtown,Paper,120,36.83,56,3,0,13.0,0,8.51,11.08,62.51
TRN-0090,51.154995,71.457156,Market,Organic,240,73.25,29,2,0,8.6,0,9.58,15.49,80.62
TRN-0091,51.172627,71.429139,Downtown,General,120,25.87,82,5,1,-8.7,0,7.41,9.95,81.88
TRN-0092,51.138695,71.411571,School Zone,Plastic,120,9.23,57,5,1,-3.3,0,6.93,10.69,44.0
TRN-0093,51.140219,71.498786,Market,Paper,660,36.7,66,1,0,-3.0,0,8.09,9.26,69.72
TRN-0094,51.199992,71.422211,Residential,General,1100,20.47,64,3,0,4.5,0,5.61,6.97,36.45
TRN-0095,51.179286,71.410145,Residential,General,660,48.12,34,2,0,15.2,1,7.18,8.01,45.27
TRN-0096,51.197012,71.487012,Park,Glass,1100,22.51,69,3,0,14.6,1,6.05,5.43,23.51
TRN-0097,51.17786,71.422207,Residential,Plastic,120,66.52,63,2,0,29.4,0,5.12,7.34,62.72
TRN-0098,51.173066,71.468356,Downtown,General,1100,68.87,78,5,1,-4.3,0,7.99,9.12,90.09
TRN-0099,51.162848,71.415469,Downtown,General,240,17.2,33,6,1,18.0,0,6.19,9.54,32.63
TRN-0100,51.147432,71.392644,Business Center,Plastic,660,14.82,57,0,0,3.8,0,8.6,10.84,49.21
TRN-0101,51.164767,71.368349,Business Center,Paper,660,58.41,87,5,1,35.0,0,6.89,8.59,77.09
TRN-0102,51.134916,71.450487,School Zone,Glass,240,13.9,37,6,1,12.6,0,7.86,6.0,28.43
TRN-0103,51.199472,71.432545,Residential,Glass,240,43.01,81,2,0,6.7,0,8.67,8.47,53.33
TRN-0104,51.140982,71.38507,Business Center,Paper,120,11.59,34,3,0,17.6,0,7.17,11.46,33.62
TRN-0105,51.153772,71.430618,School Zone,Paper,240,44.5,13,0,0,16.6,0,10.0,9.96,45.94
TRN-0106,51.140433,71.412328,School Zone,General,240,70.67,4,2,0,9.1,0,7.64,10.44,64.43
TRN-0107,51.152408,71.456911,Market,Organic,1100,54.18,48,1,0,21.7,1,7.98,8.69,66.28
TRN-0108,51.211269,71.460017,Residential,General,120,18.74,40,6,1,33.6,0,4.52,8.15,31.87
TRN-0109,51.174239,71.439576,Downtown,General,660,12.83,25,0,0,25.9,0,10.0,11.48,36.75
TRN-0110,51.132063,71.383833,Business Center,Glass,240,44.41,84,2,0,12.1,0,8.34,9.13,64.24
TRN-0111,51.166949,71.458662,Market,Organic,120,9.45,81,3,0,35.0,0,8.18,12.32,94.66
TRN-0112,51.195692,71.42893,Residential,General,240,27.49,61,6,1,20.3,0,5.18,11.49,60.39
TRN-0113,51.214223,71.416106,Residential,Paper,240,12.68,74,5,1,-0.3,0,5.87,7.61,37.49
TRN-0114,51.188353,71.485174,Park,Plastic,240,7.82,57,6,1,14.7,0,4.79,7.41,40.32
TRN-0115,51.163124,71.440493,Downtown,General,240,1.42,62,2,0,11.2,0,7.78,13.89,73.69
TRN-0116,51.218519,71.506879,Industrial,General,120,50.66,22,1,0,7.0,1,5.85,9.15,37.97
TRN-0117,51.160716,71.435683,School Zone,General,240,16.27,2,3,0,18.1,0,5.86,11.13,18.12
TRN-0118,51.150911,71.413031,School Zone,Plastic,1100,55.46,58,2,0,-10.0,0,7.81,8.62,69.14
TRN-0119,51.156652,71.463255,Market,Plastic,660,50.84,12,0,0,34.8,0,8.72,11.02,49.7
TRN-0120,51.196355,71.494428,Park,Plastic,120,43.48,18,5,1,22.0,1,4.25,7.96,51.62
TRN-0121,51.192899,71.52021,Park,General,660,52.08,50,0,0,-9.9,0,5.98,7.89,56.61
TRN-0122,51.20668,71.501759,Park,Glass,1100,32.52,33,1,0,21.8,0,3.19,3.12,24.85
TRN-0123,51.177043,71.47555,Downtown,Paper,120,41.52,38,6,1,19.8,1,4.8,10.5,48.38
TRN-0124,51.18503,71.439654,Residential,Organic,120,83.83,57,5,1,33.0,0,5.65,10.41,88.66
TRN-0125,51.159488,71.440635,Downtown,General,120,74.29,82,4,0,35.0,0,7.25,9.26,97.12
TRN-0126,51.157014,71.492598,Market,Paper,120,44.9,5,0,0,35.0,1,7.31,12.49,36.13
TRN-0127,51.187864,71.411412,Residential,Organic,660,17.42,27,1,0,10.4,1,3.52,5.49,18.36
TRN-0128,51.170375,71.446305,Downtown,General,660,54.31,30,1,0,21.0,0,9.52,11.11,59.54
TRN-0129,51.17794,71.500639,Downtown,General,660,30.41,24,4,0,7.8,0,7.91,7.92,40.8
TRN-0130,51.196593,71.473072,Park,General,240,27.07,9,3,0,26.7,0,4.82,7.22,18.75
TRN-0131,51.156435,71.444221,Downtown,General,660,30.67,26,2,0,-10.0,0,9.81,10.54,54.04
TRN-0132,51.147998,71.416113,Business Center,Plastic,120,54.05,16,5,1,-2.6,0,8.92,12.83,56.29
TRN-0133,51.19692,71.477152,Park,General,120,41.99,85,5,1,8.4,0,6.75,8.65,63.53
TRN-0134,51.21925,71.408068,Residential,General,120,49.24,34,5,1,13.2,0,4.1,5.93,48.81
TRN-0135,51.191206,71.493687,Park,Paper,1100,28.24,34,0,0,16.1,0,3.46,3.38,23.2
TRN-0136,51.178321,71.468264,Downtown,General,660,60.08,67,4,0,30.6,1,8.08,9.57,82.34
TRN-0137,51.161685,71.424864,Business Center,General,660,17.58,58,1,0,5.5,1,8.26,11.06,53.51
TRN-0138,51.144749,71.487871,Market,Paper,660,50.69,26,1,0,-2.8,0,10.0,10.85,53.52
TRN-0139,51.148447,71.451793,School Zone,General,120,50.47,29,6,1,9.0,0,5.31,9.78,55.89
TRN-0140,51.152716,71.435492,Downtown,General,240,66.52,2,2,0,6.1,0,8.17,12.31,47.88
TRN-0141,51.159631,71.43433,Market,General,660,24.91,22,5,1,21.2,0,9.89,13.96,48.06
TRN-0142,51.15632,71.489997,Market,General,1100,58.32,39,1,0,33.8,0,9.83,10.87,79.04
TRN-0143,51.151636,71.402647,Business Center,Plastic,240,63.64,41,6,1,32.7,0,7.35,8.54,69.83
TRN-0144,51.181659,71.476277,Park,General,120,24.79,22,1,0,28.2,0,5.37,11.57,36.43
TRN-0145,51.146474,71.463857,Market,General,1100,28.88,84,1,0,6.6,1,7.95,9.85,82.49
TRN-0146,51.192023,71.415035,Residential,Glass,240,53.08,75,2,0,11.9,0,5.08,8.33,52.78
TRN-0147,51.196569,71.447212,Residential,Organic,240,32.68,43,1,0,19.5,0,4.25,6.57,37.49
TRN-0148,51.147458,71.479262,Market,General,120,81.66,79,4,0,4.0,1,7.97,12.98,100.0
TRN-0149,51.145631,71.465256,Market,General,120,26.07,31,1,0,5.2,0,8.53,14.5,57.76
TRN-0150,51.152356,71.42553,Downtown,Plastic,660,56.31,65,1,0,18.9,0,6.86,7.33,67.79
TRN-0151,51.20233,71.506855,Industrial,Organic,660,14.81,76,4,0,-3.7,1,3.07,5.84,25.05
TRN-0152,51.168162,71.3823,Business Center,Organic,240,51.1,59,0,0,28.2,1,6.37,13.45,90.72
TRN-0153,51.163909,71.428597,Downtown,General,120,42.88,31,3,0,8.8,1,9.56,12.89,62.61
TRN-0154,51.148757,71.490237,Market,General,240,56.54,71,4,0,21.0,0,8.25,15.06,100.0
TRN-0155,51.164931,71.448387,Downtown,Plastic,240,33.71,11,3,0,16.7,0,7.76,11.7,34.54
TRN-0156,51.153952,71.435969,School Zone,Organic,240,71.94,37,0,0,30.3,0,5.17,8.11,70.93
TRN-0157,51.191799,71.421484,Residential,Organic,240,66.18,82,1,0,-10.0,1,6.89,8.8,84.02
TRN-0158,51.184125,71.490407,Park,General,1100,14.62,63,6,1,30.4,0,4.98,6.59,42.03
TRN-0159,51.144553,71.408593,School Zone,Plastic,1100,59.31,35,5,1,30.1,0,6.61,5.45,56.54
TRN-0160,51.141151,71.427336,School Zone,General,240,9.73,41,2,0,17.7,0,6.62,12.19,47.08
TRN-0161,51.174847,71.46157,Downtown,Paper,660,16.26,39,6,1,20.8,1,8.36,9.9,36.71
TRN-0162,51.162174,71.404552,Business Center,Organic,1100,22.91,42,0,0,21.8,0,4.55,6.7,36.58
TRN-0163,51.208733,71.406004,Residential,Plastic,120,29.09,23,0,0,2.3,0,4.49,7.3,32.24
TRN-0164,51.156195,71.401171,Downtown,General,1100,42.57,76,6,1,14.7,0,7.27,7.94,79.94
TRN-0165,51.150699,71.461777,Market,Plastic,240,29.39,9,4,0,25.6,0,8.66,14.24,41.04
TRN-0166,51.203378,71.389532,Residential,Plastic,660,32.7,76,4,0,-9.2,0,8.16,7.85,53.07
TRN-0167,51.207928,71.511154,Industrial,Organic,240,63.0,53,2,0,20.1,1,3.53,7.39,57.12
TRN-0168,51.204102,71.510239,Industrial,General,240,51.68,39,5,1,15.1,0,4.99,9.71,52.6
TRN-0169,51.19383,71.418608,Residential,Organic,660,54.12,77,4,0,22.2,0,7.39,8.89,77.62
TRN-0170,51.163352,71.423392,Business Center,General,660,52.42,90,3,0,-2.5,0,8.54,9.86,92.54
TRN-0171,51.200325,71.40689,Residential,General,120,16.9,41,2,0,4.3,0,4.66,8.23,33.31
TRN-0172,51.14682,71.483654,Market,General,660,35.29,52,2,0,-4.1,0,7.39,7.88,53.11
TRN-0173,51.189187,71.416429,Residential,General,1100,6.12,43,4,0,-4.3,0,6.22,4.77,21.26
TRN-0174,51.153541,71.40755,Business Center,General,1100,5.01,47,4,0,24.8,1,9.61,9.39,44.96
TRN-0175,51.159307,71.421321,Downtown,Paper,660,48.43,35,5,1,6.3,0,8.0,10.13,63.24
TRN-0176,51.174607,71.463562,Downtown,General,120,37.48,49,2,0,5.4,0,8.76,12.34,72.36
TRN-0177,51.133478,71.479634,Market,General,240,1.7,3,1,0,28.2,1,10.0,15.13,10.0
TRN-0178,51.168232,71.418039,Business Center,General,120,22.5,75,3,0,9.5,0,8.72,14.15,88.54
TRN-0179,51.153233,71.394948,Business Center,General,1100,52.6,9,4,0,26.5,0,6.59,6.4,34.13
TRN-0180,51.14021,71.432817,School Zone,Organic,660,70.36,93,1,0,0.4,0,7.16,8.81,100.0
TRN-0181,51.158358,71.406398,Business Center,Glass,1100,63.99,38,0,0,9.5,0,9.31,5.8,56.43
TRN-0182,51.146573,71.41544,Business Center,General,120,49.99,67,2,0,2.2,1,7.53,13.31,90.25
TRN-0183,51.156109,71.477112,Market,Organic,1100,40.99,3,0,0,21.1,0,10.0,9.7,37.67
TRN-0184,51.20051,71.444289,Residential,Paper,1100,52.66,33,0,0,11.3,0,5.33,6.29,45.0
TRN-0185,51.133156,71.448322,School Zone,Glass,660,7.51,92,6,1,23.5,0,7.47,7.39,40.88
TRN-0186,51.18506,71.500734,Park,General,1100,51.53,50,5,1,16.0,0,4.41,3.82,53.42
TRN-0187,51.211734,71.414704,Residential,General,240,30.28,44,0,0,-10.0,1,5.58,9.85,46.79
TRN-0188,51.18601,71.456136,Downtown,Plastic,240,57.68,30,2,0,10.6,0,7.63,8.4,65.5
TRN-0189,51.130627,71.423488,School Zone,Organic,120,64.48,67,1,0,-6.0,0,5.33,10.57,91.72
TRN-0190,51.210728,71.432946,Residential,Paper,120,54.21,63,6,1,18.5,1,4.91,6.91,56.6
TRN-0191,51.14682,71.407011,Business Center,Plastic,120,73.93,51,3,0,21.2,0,6.44,12.66,87.23
TRN-0192,51.201435,71.411486,Residential,General,660,48.38,96,1,0,22.6,0,4.95,9.18,77.45
TRN-0193,51.192978,71.452605,Downtown,Paper,240,11.83,54,4,0,12.4,0,6.53,10.23,48.92
TRN-0194,51.213782,71.521963,Industrial,Organic,120,55.11,84,3,0,-7.2,0,5.01,7.12,64.04
TRN-0195,51.165748,71.464211,Downtown,Plastic,120,37.18,46,1,0,16.7,0,8.53,13.82,69.99
TRN-0196,51.152723,71.442295,Downtown,Paper,660,65.64,46,2,0,19.3,0,8.02,8.14,62.98
TRN-0197,51.202891,71.507653,Park,Plastic,1100,9.85,57,0,0,11.6,0,3.41,2.43,20.3
TRN-0198,51.206667,71.490753,Industrial,Plastic,240,7.43,33,4,0,15.1,1,3.79,3.71,14.26
TRN-0199,51.205074,71.409754,Residential,Plastic,660,23.84,76,6,1,-10.0,1,3.92,6.11,38.81
TRN-0200,51.196714,71.432246,Residential,Organic,1100,10.95,44,5,1,14.9,1,5.24,3.72,20.29
TRN-0201,51.133959,71.399619,School Zone,Glass,660,65.52,26,2,0,12.6,0,7.81,9.35,63.18
TRN-0202,51.144389,71.409249,Business Center,Plastic,660,65.16,31,3,0,-1.8,0,8.89,9.25,66.2
TRN-0203,51.132766,71.469643,Market,General,660,22.52,32,0,0,20.9,0,9.32,9.9,40.93
TRN-0204,51.155479,71.473699,Downtown,General,1100,63.89,96,2,0,7.6,0,8.78,9.75,100.0
TRN-0205,51.191051,71.433227,Downtown,General,240,11.71,31,0,0,17.0,0,7.69,12.76,36.94
TRN-0206,51.201968,71.404694,Residential,General,660,69.05,20,5,1,20.3,0,5.14,9.18,58.65
TRN-0207,51.166307,71.476152,Downtown,General,240,53.13,66,6,1,18.3,0,8.36,10.05,79.91
TRN-0208,51.134733,71.424809,School Zone,Plastic,120,71.17,78,1,0,-3.4,0,8.1,9.0,92.04
TRN-0209,51.159975,71.466293,Downtown,General,660,38.53,41,4,0,9.0,0,6.82,11.21,50.99
TRN-0210,51.118767,71.467458,Market,General,1100,9.1,40,4,0,35.0,0,9.22,5.76,23.29
TRN-0211,51.138941,71.419184,School Zone,Organic,1100,45.23,59,2,0,32.1,1,6.78,5.86,66.02
TRN-0212,51.201035,71.50213,Park,General,1100,26.18,63,5,1,24.8,0,2.59,4.01,35.77
TRN-0213,51.18528,71.450502,Residential,Paper,660,35.66,11,4,0,17.6,0,5.88,5.21,34.95
TRN-0214,51.200167,71.523429,Industrial,Organic,240,52.67,89,1,0,1.2,1,2.48,6.33,44.71
TRN-0215,51.140898,71.421544,School Zone,Plastic,1100,70.26,36,5,1,11.9,0,7.46,5.78,58.34
TRN-0216,51.135306,71.428597,School Zone,General,240,19.76,57,4,0,8.5,0,5.41,11.78,56.71
TRN-0217,51.171484,71.435298,Downtown,General,120,76.3,6,2,0,12.9,0,6.61,12.53,57.11
TRN-0218,51.167061,71.43754,Downtown,Paper,240,17.34,60,5,1,-4.8,1,6.92,10.27,53.81
TRN-0219,51.14525,71.39684,Business Center,Plastic,660,46.04,11,4,0,26.4,0,9.12,9.65,41.51
TRN-0220,51.1879,71.412798,Residential,General,660,48.02,4,0,0,-10.0,0,4.81,5.77,37.48
TRN-0221,51.203725,71.420911,Residential,Plastic,660,3.67,92,1,0,25.1,0,4.22,5.99,25.39
TRN-0222,51.171143,71.440943,Market,Plastic,120,80.18,13,2,0,25.4,1,9.2,11.58,69.28
TRN-0223,51.197093,71.484196,Park,General,660,67.08,72,0,0,35.0,0,4.56,8.73,68.83
TRN-0224,51.165557,71.419847,Business Center,Paper,660,35.61,52,2,0,10.8,0,8.67,9.86,64.22
TRN-0225,51.19775,71.42169,Residential,General,1100,51.8,24,3,0,7.2,1,4.29,4.11,42.11
TRN-0226,51.149959,71.418305,Business Center,General,240,66.57,36,5,1,15.6,0,8.03,14.02,90.25
TRN-0227,51.150611,71.460752,Downtown,Organic,660,22.05,14,1,0,21.3,0,10.0,11.22,33.25
TRN-0228,51.151168,71.466794,Market,General,660,8.18,59,3,0,12.8,0,8.54,12.7,68.88
TRN-0229,51.190075,71.481712,Park,Paper,240,70.77,80,4,0,-1.4,1,5.01,8.71,63.37
TRN-0230,51.182373,71.497602,Downtown,Plastic,120,54.47,37,3,0,21.3,0,5.57,10.65,58.07
TRN-0231,51.181599,71.44062,Downtown,General,120,28.99,90,6,1,14.0,0,6.46,10.06,84.85
TRN-0232,51.205698,71.4292,Residential,Organic,120,32.1,17,2,0,0.9,0,5.91,9.04,28.42
TRN-0233,51.148148,71.390188,Business Center,General,240,40.19,91,2,0,-7.1,0,7.44,16.12,100.0
TRN-0234,51.191767,71.496216,Park,General,660,53.28,77,0,0,35.0,1,5.48,6.27,53.86
TRN-0235,51.141282,71.398287,Business Center,Organic,660,45.46,7,2,0,24.8,1,8.27,10.19,44.35
TRN-0236,51.220127,71.504726,Industrial,Organic,660,5.09,82,0,0,21.3,0,2.45,4.3,19.88
TRN-0237,51.165563,71.452929,Market,Paper,120,20.99,7,6,1,12.5,0,9.92,11.78,30.11
TRN-0238,51.162922,71.40603,School Zone,General,120,45.96,93,1,0,23.0,0,5.73,11.78,96.84
TRN-0239,51.149108,71.448216,Downtown,General,660,39.7,66,5,1,0.3,0,6.56,7.58,71.1
TRN-0240,51.158055,71.448519,Downtown,Paper,660,26.95,20,0,0,16.6,0,7.65,7.78,38.08
TRN-0241,51.213663,71.501163,Industrial,General,660,30.34,88,1,0,17.2,0,5.62,6.86,49.06
TRN-0242,51.205976,71.51059,Industrial,General,660,4.29,30,0,0,0.6,1,2.8,4.64,12.22
TRN-0243,51.196227,71.435655,Residential,Organic,1100,91.97,12,2,0,12.6,1,5.56,6.15,61.48
TRN-0244,51.149596,71.45963,Market,General,1100,59.52,27,4,0,8.6,0,8.97,8.96,59.67
TRN-0245,51.175523,71.481518,Park,General,660,48.61,83,2,0,4.1,1,5.52,5.55,50.63
TRN-0246,51.201708,71.483851,Industrial,General,240,59.8,90,4,0,7.0,0,5.2,9.18,81.12
TRN-0247,51.197675,71.457435,Park,Plastic,120,56.57,89,5,1,-8.2,1,4.36,8.73,71.26
TRN-0248,51.213522,71.421496,Residential,Paper,660,28.21,58,0,0,27.8,0,6.51,6.01,36.72
TRN-0249,51.198962,71.403579,Residential,Organic,240,11.13,18,2,0,34.3,0,6.86,10.4,23.46
TRN-0250,51.159044,71.474056,Market,General,120,19.64,89,4,0,2.0,1,10.0,14.01,100.0
TRN-0251,51.185539,71.487097,Park,General,240,5.4,50,3,0,28.4,1,5.35,9.51,30.14
